Date,Time,InstrumentId,InstrumentName,Side,SideName,Quantity,Price,OrderId,AccountId,MarketId,TransactTime,TimeStamp,ExecId,OrderStatus,Exchange,Contract,Originator,CurrentUser,DateTime,SignedQuantity,intraday_pnl
2025-06-27,16:00:14.073,1375333834396392980,Unknown_1375333834396392980,1,BUY,10.0,111.796875,b94c03d5-257a-4bba-b053-84e72a7025a4,1334000,7,1751054414073145633,1751054414073145633,,3,CME,ZN Sep25,,Eric,2025-06-27 16:00:14.073,10.0,0.0
2025-06-27,16:08:24.583,1375333834396392980,Unknown_1375333834396392980,1,BUY,5.0,111.84375,f618faee-877a-4e57-a71f-586bb613c5d2,1334000,7,1751054904583882680,1751054904583882680,,2,CME,ZN Sep25,,Eric,2025-06-27 16:08:24.583,5.0,0.46875
2025-06-27,16:08:24.584,1375333834396392980,Unknown_1375333834396392980,1,BUY,2.0,111.84375,f618faee-877a-4e57-a71f-586bb613c5d2,1334000,7,1751054904584166384,1751054904584166384,,2,CME,ZN Sep25,,Eric,2025-06-27 16:08:24.584,2.0,0.46875
2025-06-27,16:08:24.584,1375333834396392980,Unknown_1375333834396392980,1,BUY,3.0,111.84375,f618faee-877a-4e57-a71f-586bb613c5d2,1334000,7,1751054904584345945,1751054904584345945,,3,CME,ZN Sep25,,Eric,2025-06-27 16:08:24.584,3.0,0.46875
2025-06-27,16:13:09.813,1375333834396392980,Unknown_1375333834396392980,1,BUY,10.0,111.875,654a3b6e-ce05-4138-8793-732f04db44e4,1334000,7,1751055189813003225,1751055189813003225,,3,CME,ZN Sep25,,Eric,2025-06-27 16:13:09.813,10.0,1.093749999999858
2025-06-30,10:20:40.340,1375333834396392980,Unknown_1375333834396392980,1,BUY,10.0,111.84375,e4ce12da-9930-4975-8688-5f29f52dd0e8,1334000,7,1751293240340898990,1751293240340898990,,3,CME,ZN Sep25,,Eric,2025-06-30 10:20:40.340,10.0,0.0
2025-06-30,10:27:35.526,1375333834396392980,Unknown_1375333834396392980,1,BUY,1.0,111.890625,0cc5196e-6f9a-4fdb-84fa-c56f1389fbae,1334000,7,1751293655526552221,1751293655526552221,,3,CME,ZN Sep25,,Eric,2025-06-30 10:27:35.526,1.0,0.46875000000004263
2025-06-30,10:27:42.926,1375333834396392980,Unknown_1375333834396392980,1,BUY,5.0,111.890625,4090e33f-1ee6-49cf-97a0-d942ea2ebcc0,1334000,7,1751293662926795940,1751293662926795940,,3,CME,ZN Sep25,,Eric,2025-06-30 10:27:42.926,5.0,0.46875
2025-06-30,10:29:16.298,1375333834396392980,Unknown_1375333834396392980,2,SELL,1.0,111.859375,92deb39b-678c-4411-b606-a201740489eb,1334000,7,1751293756298709137,1751293756298709137,,3,CME,ZN Sep25,,Eric,2025-06-30 10:29:16.298,-1.0,-111.89062499999991
2025-07-01,10:40:41.767,1375333834396392980,Unknown_1375333834396392980,1,BUY,45.0,111.828125,adee326d-1a67-47d5-ad12-6bd2ea771244,1334000,7,1751380841767984818,1751380841767984818,,3,CME,ZN Sep25,,Eric,2025-07-01 10:40:41.767,45.0,0.0
2025-07-01,10:41:37.774,1375333834396392980,Unknown_1375333834396392980,1,BUY,34.0,111.828125,ec3149cd-7ee8-4870-a68c-86b5188a3c34,1334000,7,1751380897774094359,1751380897774094359,,2,CME,ZN Sep25,,Eric,2025-07-01 10:41:37.774,34.0,0.0
2025-07-01,10:41:37.774,1375333834396392980,Unknown_1375333834396392980,1,BUY,16.0,111.828125,ec3149cd-7ee8-4870-a68c-86b5188a3c34,1334000,7,1751380897774264751,1751380897774264751,,3,CME,ZN Sep25,,Eric,2025-07-01 10:41:37.774,16.0,0.0
2025-07-01,11:06:29.178,1375333834396392980,Unknown_1375333834396392980,1,BUY,5.0,111.8125,2b36e0b9-a9ec-4480-8730-283fd0eea241,1334000,7,1751382389178715063,1751382389178715063,,3,CME,ZN Sep25,,Eric,2025-07-01 11:06:29.178,5.0,-1.4843749999997158
2025-07-01,11:06:47.407,1375333834396392980,Unknown_1375333834396392980,2,SELL,5.0,111.796875,b26607c7-c2a7-4788-882d-045b713dba3c,1334000,7,1751382407407972661,1751382407407972661,,3,CME,ZN Sep25,,Eric,2025-07-01 11:06:47.407,-5.0,-562.0312499999999
2025-07-01,11:07:21.655,1375333834396392980,Unknown_1375333834396392980,2,SELL,5.0,111.796875,cd175bb5-8d32-4955-bf2c-f35be28e20e0,1334000,7,1751382441655781151,1751382441655781151,,3,CME,ZN Sep25,,Eric,2025-07-01 11:07:21.655,-5.0,-1121.0156250000005
2025-07-01,11:07:32.834,1375333834396392980,Unknown_1375333834396392980,2,SELL,20.0,111.796875,bdefe6f6-9ed7-4333-978c-5cf6a0dd7521,1334000,7,1751382452834804530,1751382452834804530,,3,CME,ZN Sep25,,Eric,2025-07-01 11:07:32.834,-20.0,-3356.9531250000005
2025-07-01,11:09:15.992,1375333834396392980,Unknown_1375333834396392980,1,BUY,5.0,111.828125,66059b0f-fe48-45ac-8107-86a19593799b,1334000,7,1751382555992072229,1751382555992072229,,3,CME,ZN Sep25,,Eric,2025-07-01 11:09:15.992,5.0,-3354.7656250000005
