2025-07-04 13:24:17,600 | INFO | __main__ | ============================================================
2025-07-04 13:24:17,600 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-04 13:24:17,600 | INFO | __main__ | ============================================================
2025-07-04 13:24:17,600 | INFO | __main__ | Environment: SIM
2025-07-04 13:24:17,600 | INFO | __main__ | Poll interval: 10 seconds
2025-07-04 13:24:17,601 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-04 13:24:17,601 | INFO | __main__ | Max retries: 5
2025-07-04 13:24:17,601 | INFO | __main__ | ============================================================
2025-07-04 13:24:17,601 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-04 13:24:17,601 | INFO | __main__ | ============================================================
2025-07-04 13:24:17,602 | INFO | __main__ | Starting Fill Monitor...
2025-07-04 13:24:17,603 | INFO | __main__ | Token manager initialized successfully
2025-07-04 13:24:18,525 | INFO | __main__ | Retrieved 281 fills from API
2025-07-04 13:24:19,926 | INFO | __main__ | Saved 281 fills to CSV
2025-07-04 13:24:19,927 | INFO | __main__ | Processed 281 new fills. Latest timestamp: 1751641706706259570
2025-07-04 13:24:30,191 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:25:26,507 | INFO | __main__ | ============================================================
2025-07-04 13:25:26,508 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-04 13:25:26,509 | INFO | __main__ | ============================================================
2025-07-04 13:25:26,509 | INFO | __main__ | Environment: SIM
2025-07-04 13:25:26,509 | INFO | __main__ | Poll interval: 10 seconds
2025-07-04 13:25:26,509 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-04 13:25:26,509 | INFO | __main__ | Max retries: 5
2025-07-04 13:25:26,510 | INFO | __main__ | ============================================================
2025-07-04 13:25:26,510 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-04 13:25:26,510 | INFO | __main__ | ============================================================
2025-07-04 13:25:26,516 | INFO | __main__ | Initialized CSV file: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills.csv
2025-07-04 13:25:26,517 | INFO | __main__ | Starting Fill Monitor...
2025-07-04 13:25:26,518 | INFO | __main__ | Token manager initialized successfully
2025-07-04 13:25:27,574 | INFO | __main__ | Retrieved 281 fills from API
2025-07-04 13:25:28,073 | INFO | __main__ | Saved 281 fills to CSV
2025-07-04 13:25:28,073 | INFO | __main__ | Processed 281 new fills. Latest timestamp: 1751641706706259570
2025-07-04 13:25:38,269 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:25:48,516 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:25:58,996 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:26:09,268 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:26:19,659 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:26:29,932 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:26:40,128 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:26:50,407 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:00,697 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:10,990 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:21,233 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:31,491 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:41,873 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:27:52,140 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:02,441 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:12,649 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:22,865 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:33,150 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:43,361 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:28:53,603 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:29:04,080 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:29:14,375 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 13:34:47,092 | INFO | __main__ | ============================================================
2025-07-04 13:34:47,093 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-04 13:34:47,094 | INFO | __main__ | ============================================================
2025-07-04 13:34:47,094 | INFO | __main__ | Environment: SIM
2025-07-04 13:34:47,095 | INFO | __main__ | Poll interval: 10 seconds
2025-07-04 13:34:47,095 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-04 13:34:47,096 | INFO | __main__ | Max retries: 5
2025-07-04 13:34:47,096 | INFO | __main__ | ============================================================
2025-07-04 13:34:47,097 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-04 13:34:47,097 | INFO | __main__ | ============================================================
2025-07-04 13:34:47,099 | INFO | __main__ | Starting Fill Monitor...
2025-07-04 13:34:47,101 | INFO | __main__ | Token manager initialized successfully
2025-07-04 13:34:48,936 | INFO | __main__ | Retrieved 281 fills from API
2025-07-04 13:34:50,241 | INFO | __main__ | Saved 281 fills to CSV
2025-07-04 13:34:50,242 | INFO | __main__ | Processed 281 new fills. Latest timestamp: 1751641706706259570
2025-07-04 13:35:00,617 | INFO | __main__ | Retrieved 1 fills from API
2025-07-04 14:40:20,474 | INFO | __main__ | ============================================================
2025-07-04 14:40:20,475 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-04 14:40:20,475 | INFO | __main__ | ============================================================
2025-07-04 14:40:20,475 | INFO | __main__ | Environment: SIM
2025-07-04 14:40:20,476 | INFO | __main__ | Poll interval: 10 seconds
2025-07-04 14:40:20,476 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-04 14:40:20,476 | INFO | __main__ | Max retries: 2
2025-07-04 14:40:20,477 | INFO | __main__ | ============================================================
2025-07-04 14:40:20,477 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-04 14:40:20,477 | INFO | __main__ | ============================================================
