2025-07-02 13:04:09,050 | INFO | __main__ | ============================================================
2025-07-02 13:04:09,051 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-02 13:04:09,052 | INFO | __main__ | ============================================================
2025-07-02 13:04:09,052 | INFO | __main__ | Environment: SIM
2025-07-02 13:04:09,053 | INFO | __main__ | Poll interval: 10 seconds
2025-07-02 13:04:09,053 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-02 13:04:09,054 | INFO | __main__ | Max retries: 5
2025-07-02 13:04:09,059 | INFO | __main__ | ============================================================
2025-07-02 13:04:09,059 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-02 13:04:09,059 | INFO | __main__ | ============================================================
2025-07-02 13:04:09,063 | INFO | __main__ | Initialized CSV file: test_10sec.csv
2025-07-02 13:04:09,063 | INFO | __main__ | Starting Fill Monitor...
2025-07-02 13:04:09,065 | INFO | __main__ | Token manager initialized successfully
2025-07-02 13:04:10,644 | INFO | __main__ | Retrieved 250 fills from API
2025-07-02 13:04:11,321 | INFO | __main__ | Saved 250 fills to CSV
2025-07-02 13:04:11,322 | INFO | __main__ | Processed 250 new fills. Latest timestamp: 1751457641750057603
2025-07-02 13:04:21,800 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:04:32,296 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:04:42,608 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:08:06,553 | INFO | __main__ | ============================================================
2025-07-02 13:08:06,554 | INFO | __main__ | TT Continuous Fill Monitor
2025-07-02 13:08:06,554 | INFO | __main__ | ============================================================
2025-07-02 13:08:06,554 | INFO | __main__ | Environment: SIM
2025-07-02 13:08:06,554 | INFO | __main__ | Poll interval: 10 seconds
2025-07-02 13:08:06,555 | INFO | __main__ | Output directory: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder
2025-07-02 13:08:06,555 | INFO | __main__ | Max retries: 5
2025-07-02 13:08:06,555 | INFO | __main__ | ============================================================
2025-07-02 13:08:06,555 | INFO | __main__ | Press Ctrl+C to stop monitoring
2025-07-02 13:08:06,556 | INFO | __main__ | ============================================================
2025-07-02 13:08:06,560 | INFO | __main__ | Initialized CSV file: C:\Users\YamanSanghavi\Desktop\scenario_ladder_standalone\data\output\ladder\continuous_fills_20250702.csv
2025-07-02 13:08:06,561 | INFO | __main__ | Starting Fill Monitor...
2025-07-02 13:08:06,561 | INFO | __main__ | Token manager initialized successfully
2025-07-02 13:08:07,767 | INFO | __main__ | Retrieved 250 fills from API
2025-07-02 13:08:08,427 | INFO | __main__ | Saved 250 fills to CSV
2025-07-02 13:08:08,428 | INFO | __main__ | Processed 250 new fills. Latest timestamp: 1751457641750057603
2025-07-02 13:08:18,731 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:08:29,086 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:08:39,393 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:08:49,761 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:00,101 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:10,361 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:20,712 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:31,052 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:41,590 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:09:51,934 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:02,370 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:12,830 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:23,138 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:33,465 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:43,737 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:10:53,973 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:04,336 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:14,668 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:24,931 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:35,191 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:45,518 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:11:55,886 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:06,202 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:16,494 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:26,733 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:37,017 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:47,356 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:12:57,656 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:08,104 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:18,446 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:28,766 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:39,122 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:49,469 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:13:59,733 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:14:10,066 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:14:20,333 | INFO | __main__ | Retrieved 2 fills from API
2025-07-02 13:14:20,343 | INFO | __main__ | Saved 1 fills to CSV
2025-07-02 13:14:20,343 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1751476457369336652
2025-07-02 13:14:30,652 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:14:40,911 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:14:51,428 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:01,741 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:12,014 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:22,488 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:32,885 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:43,153 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:15:53,468 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:16:03,736 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:16:14,045 | INFO | __main__ | Retrieved 2 fills from API
2025-07-02 13:16:14,061 | INFO | __main__ | Saved 1 fills to CSV
2025-07-02 13:16:14,062 | INFO | __main__ | Processed 1 new fills. Latest timestamp: 1751476564982323061
2025-07-02 13:16:24,399 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:16:34,755 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:16:44,995 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:16:55,330 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:05,597 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:15,928 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:26,173 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:36,420 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:46,768 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:17:57,032 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:18:08,187 | INFO | __main__ | Retrieved 1 fills from API
2025-07-02 13:18:18,507 | INFO | __main__ | Retrieved 1 fills from API
