1-Jul-25,16:14.6,CME,ZN Sep25,B,10,111'280,F,TT SIM,Trading,Eric,Eric,fb14a2cf-9d5b-46b7-979a-e76e38024b0d,1527c005-1d1f-40fd-a738-749dc938a5d7
1-Jul-25,18:52.6,CME,ZN Sep25,B,1,111'285,F,TT SIM,Trading,Eric,Eric,11a64b1d-76e2-4ed2-b5c2-33f7234954d4,
1-Jul-25,49:02.0,CME,ZN Sep25,B,3,111'235,F,TT SIM,Trading,Eric,Eric,045f6891-006c-4ed6-b35a-fae8befd89e8,669d33b9-b1b7-48d0-b5a9-43553ca663f3
1-Jul-25,49:02.0,CME,ZN Sep25,B,1,111'235,P,TT SIM,Trading,Eric,Eric,045f6891-006c-4ed6-b35a-fae8befd89e8,669d33b9-b1b7-48d0-b5a9-43553ca663f3
1-Jul-25,49:02.0,CME,ZN Sep25,B,6,111'235,P,TT SIM,Trading,Eric,Eric,045f6891-006c-4ed6-b35a-fae8befd89e8,669d33b9-b1b7-48d0-b5a9-43553ca663f3
1-Jul-25,46:26.7,CME,ZN Sep25,B,10,111'235,F,TT SIM,Trading,Eric,Eric,13afce9e-ae7e-4dce-919e-4db31c01e57b,523dc53e-d402-4a2c-a2cc-f11eb6a166cc
1-Jul-25,46:26.7,CME,ZN Sep25,B,10,111'235,F,TT SIM,Trading,Eric,Eric,8def69ef-0ba6-4533-8422-f8d6d21899a3,a84c1f58-6c37-4a4c-a3ef-da963d105bc3
1-Jul-25,46:26.7,CME,ZN Sep25,B,10,111'235,F,TT SIM,Trading,Eric,Eric,3ed9ae65-dffe-46e6-a3b3-779e7b3f6909,be587bcf-0f62-4f13-aff7-9bf427fcc2d5
1-Jul-25,44:35.1,CME,ZN Sep25,B,10,111'240,F,TT SIM,Trading,Eric,Eric,22dc8148-cf40-4901-b9d5-9cb5dc670aab,20103a7c-2292-48ee-8c99-449680aa7881
1-Jul-25,38:12.1,CME,ZN Sep25,B,5,111'250,F,TT SIM,Trading,Eric,Eric,62a17e29-aead-4dea-9186-1d34869ceb4f,
1-Jul-25,09:16.0,CME,ZN Sep25,B,5,111'265,F,TT SIM,Trading,Eric,Eric,66059b0f-fe48-45ac-8107-86a19593799b,
1-Jul-25,07:32.8,CME,ZN Sep25,S,20,111'255,F,TT SIM,Trading,Eric,Eric,bdefe6f6-9ed7-4333-978c-5cf6a0dd7521,
1-Jul-25,07:21.7,CME,ZN Sep25,S,5,111'255,F,TT SIM,Trading,Eric,Eric,cd175bb5-8d32-4955-bf2c-f35be28e20e0,
1-Jul-25,06:47.4,CME,ZN Sep25,S,5,111'255,F,TT SIM,Trading,Eric,Eric,b26607c7-c2a7-4788-882d-045b713dba3c,
1-Jul-25,06:29.2,CME,ZN Sep25,B,5,111'260,F,TT SIM,Trading,Eric,Eric,2b36e0b9-a9ec-4480-8730-283fd0eea241,
1-Jul-25,41:37.8,CME,ZN Sep25,B,16,111'265,F,TT SIM,Trading,Eric,Eric,ec3149cd-7ee8-4870-a68c-86b5188a3c34,
